INPUT_TABLE
Variable ID
Rsrc

region,resource,output.unit,price.unit,market
Africa_Eastern,Africa-East Central Coast-water withdrawals,km^3,1975$/m^3,Africa-East Central Coast
Africa_Eastern,Africa-North Interior-water withdrawals,km^3,1975$/m^3,Africa-North Interior
Africa_Eastern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,km^3,1975$/m^3,Africa-Red Sea-Gulf of Aden Coast
Africa_Eastern,Congo-water withdrawals,km^3,1975$/m^3,Congo
Africa_Eastern,Lake Chad-water withdrawals,km^3,1975$/m^3,Lake Chad
Africa_Eastern,Madasgacar-water withdrawals,km^3,1975$/m^3,Madasgacar
Africa_Eastern,Nile-water withdrawals,km^3,1975$/m^3,Nile
Africa_Eastern,Rift Valley-water withdrawals,km^3,1975$/m^3,Rift Valley
Africa_Eastern,Shebelli-Juba-water withdrawals,km^3,1975$/m^3,Shebelli-Juba
Africa_Northern,Africa-North Interior-water withdrawals,km^3,1975$/m^3,Africa-North Interior
Africa_Northern,Africa-North West Coast-water withdrawals,km^3,1975$/m^3,Africa-North West Coast
Africa_Northern,Africa-Red Sea-Gulf of Aden Coast-water withdrawals,km^3,1975$/m^3,Africa-Red Sea-Gulf of Aden Coast
Africa_Northern,Dead Sea-water withdrawals,km^3,1975$/m^3,Dead Sea
Africa_Northern,Lake Chad-water withdrawals,km^3,1975$/m^3,Lake Chad
Africa_Northern,Mediterranean Sea-East Coast-water withdrawals,km^3,1975$/m^3,Mediterranean Sea-East Coast
Africa_Northern,Mediterranean South Coast-water withdrawals,km^3,1975$/m^3,Mediterranean South Coast
Africa_Northern,Niger-water withdrawals,km^3,1975$/m^3,Niger
Africa_Northern,Nile-water withdrawals,km^3,1975$/m^3,Nile
Africa_Northern,Sinai Peninsula-water withdrawals,km^3,1975$/m^3,Sinai Peninsula
Africa_Southern,Africa-East Central Coast-water withdrawals,km^3,1975$/m^3,Africa-East Central Coast
Africa_Southern,Africa-Indian Ocean Coast-water withdrawals,km^3,1975$/m^3,Africa-Indian Ocean Coast
Africa_Southern,Africa-South Interior-water withdrawals,km^3,1975$/m^3,Africa-South Interior
Africa_Southern,Angola-Coast-water withdrawals,km^3,1975$/m^3,Angola-Coast
Africa_Southern,Congo-water withdrawals,km^3,1975$/m^3,Congo
Africa_Southern,Gulf of Guinea-water withdrawals,km^3,1975$/m^3,Gulf of Guinea
Africa_Southern,Limpopo-water withdrawals,km^3,1975$/m^3,Limpopo
Africa_Southern,Namibia-Coast-water withdrawals,km^3,1975$/m^3,Namibia-Coast
Africa_Southern,Nile-water withdrawals,km^3,1975$/m^3,Nile
Africa_Southern,Orange-water withdrawals,km^3,1975$/m^3,Orange
Africa_Southern,Rift Valley-water withdrawals,km^3,1975$/m^3,Rift Valley
Africa_Southern,South Africa-South Coast-water withdrawals,km^3,1975$/m^3,South Africa-South Coast
Africa_Southern,Zambezi-water withdrawals,km^3,1975$/m^3,Zambezi
Africa_Western,Africa-North Interior-water withdrawals,km^3,1975$/m^3,Africa-North Interior
Africa_Western,Africa-North West Coast-water withdrawals,km^3,1975$/m^3,Africa-North West Coast
Africa_Western,Africa-West Coast-water withdrawals,km^3,1975$/m^3,Africa-West Coast
Africa_Western,Congo-water withdrawals,km^3,1975$/m^3,Congo
Africa_Western,Gulf of Guinea-water withdrawals,km^3,1975$/m^3,Gulf of Guinea
Africa_Western,Lake Chad-water withdrawals,km^3,1975$/m^3,Lake Chad
Africa_Western,Niger-water withdrawals,km^3,1975$/m^3,Niger
Africa_Western,Nile-water withdrawals,km^3,1975$/m^3,Nile
Africa_Western,Senegal-water withdrawals,km^3,1975$/m^3,Senegal
Africa_Western,Volta-water withdrawals,km^3,1975$/m^3,Volta
Africa_Western,Zambezi-water withdrawals,km^3,1975$/m^3,Zambezi
Argentina,Central Patagonia Highlands-water withdrawals,km^3,1975$/m^3,Central Patagonia Highlands
Argentina,La Plata-water withdrawals,km^3,1975$/m^3,La Plata
Argentina,La Puna Region-water withdrawals,km^3,1975$/m^3,La Puna Region
Argentina,Mar Chiquita-water withdrawals,km^3,1975$/m^3,Mar Chiquita
Argentina,Negro-water withdrawals,km^3,1975$/m^3,Negro
Argentina,North Argentina-South Atlantic Coast-water withdrawals,km^3,1975$/m^3,North Argentina-South Atlantic Coast
