# ../water-data/level1//L103.water_mapping_R_GLU_B_W_Ws_share.csv
# Written by L103.water.basin_mapping.R
# Wed Mar 28 06:29:51 2018
# " water mapping by region / GLU / water type / water sector to basin "
# " Unit = share "
"GCAM_region_ID","GLU","basin.id","water_type","water.sector","share"
13,1,1,"water consumption","Irrigation",1
23,1,1,"water consumption","Irrigation",1
8,2,2,"water consumption","Irrigation",1
23,3,3,"water consumption","Irrigation",1
23,4,4,"water consumption","Irrigation",1
23,5,5,"water consumption","Irrigation",1
23,6,6,"water consumption","Irrigation",1
1,7,7,"water consumption","Irrigation",1
8,7,7,"water consumption","Irrigation",1
13,8,8,"water consumption","Irrigation",1
16,8,8,"water consumption","Irrigation",1
23,8,8,"water consumption","Irrigation",1
23,9,9,"water consumption","Irrigation",1
8,10,10,"water consumption","Irrigation",1
16,11,11,"water consumption","Irrigation",1
13,12,12,"water consumption","Irrigation",1
16,12,12,"water consumption","Irrigation",1
13,13,13,"water consumption","Irrigation",1
23,13,13,"water consumption","Irrigation",1
23,14,14,"water consumption","Irrigation",1
8,15,15,"water consumption","Irrigation",1
13,16,16,"water consumption","Irrigation",1
13,17,17,"water consumption","Irrigation",1
14,17,17,"water consumption","Irrigation",1
23,17,17,"water consumption","Irrigation",1
10,18,18,"water consumption","Irrigation",1
23,18,18,"water consumption","Irrigation",1
8,19,19,"water consumption","Irrigation",1
12,20,20,"water consumption","Irrigation",1
23,20,20,"water consumption","Irrigation",1
12,21,21,"water consumption","Irrigation",1
13,21,21,"water consumption","Irrigation",1
12,22,22,"water consumption","Irrigation",1
23,22,22,"water consumption","Irrigation",1
1,23,23,"water consumption","Irrigation",1
8,23,23,"water consumption","Irrigation",1
13,24,24,"water consumption","Irrigation",1
12,25,25,"water consumption","Irrigation",1
14,25,25,"water consumption","Irrigation",1
23,25,25,"water consumption","Irrigation",1
13,26,26,"water consumption","Irrigation",1
1,27,27,"water consumption","Irrigation",1
8,27,27,"water consumption","Irrigation",1
13,28,28,"water consumption","Irrigation",1
12,29,29,"water consumption","Irrigation",1
13,29,29,"water consumption","Irrigation",1
12,30,30,"water consumption","Irrigation",1
14,30,30,"water consumption","Irrigation",1
12,31,31,"water consumption","Irrigation",1
13,31,31,"water consumption","Irrigation",1
13,32,32,"water consumption","Irrigation",1
16,32,32,"water consumption","Irrigation",1
12,33,33,"water consumption","Irrigation",1
23,33,33,"water consumption","Irrigation",1
8,34,34,"water consumption","Irrigation",1
12,35,35,"water consumption","Irrigation",1
14,35,35,"water consumption","Irrigation",1
23,35,35,"water consumption","Irrigation",1
13,36,36,"water consumption","Irrigation",1
11,37,37,"water consumption","Irrigation",1
23,37,37,"water consumption","Irrigation",1
29,37,37,"water consumption","Irrigation",1
10,38,38,"water consumption","Irrigation",1
23,38,38,"water consumption","Irrigation",1
14,39,39,"water consumption","Irrigation",1
23,39,39,"water consumption","Irrigation",1
8,40,40,"water consumption","Irrigation",1
13,41,41,"water consumption","Irrigation",1
10,42,42,"water consumption","Irrigation",1
11,42,42,"water consumption","Irrigation",1
23,42,42,"water consumption","Irrigation",1
10,43,43,"water consumption","Irrigation",1
11,43,43,"water consumption","Irrigation",1
23,43,43,"water consumption","Irrigation",1
13,44,44,"water consumption","Irrigation",1
10,45,45,"water consumption","Irrigation",1
23,45,45,"water consumption","Irrigation",1
13,46,46,"water consumption","Irrigation",1
10,47,47,"water consumption","Irrigation",1
14,47,47,"water consumption","Irrigation",1
23,47,47,"water consumption","Irrigation",1
10,48,48,"water consumption","Irrigation",1
23,48,48,"water consumption","Irrigation",1
12,49,49,"water consumption","Irrigation",1
14,49,49,"water consumption","Irrigation",1
13,50,50,"water consumption","Irrigation",1
19,51,51,"water consumption","Irrigation",1
10,52,52,"water consumption","Irrigation",1
21,52,52,"water consumption","Irrigation",1
27,52,52,"water consumption","Irrigation",1
14,53,53,"water consumption","Irrigation",1
23,53,53,"water consumption","Irrigation",1
12,54,54,"water consumption","Irrigation",1
13,54,54,"water consumption","Irrigation",1
14,54,54,"water consumption","Irrigation",1
15,54,54,"water consumption","Irrigation",1
16,54,54,"water consumption","Irrigation",1
12,55,55,"water consumption","Irrigation",1
13,55,55,"water consumption","Irrigation",1
15,55,55,"water consumption","Irrigation",1
10,56,56,"water consumption","Irrigation",1
11,56,56,"water consumption","Irrigation",1
23,56,56,"water consumption","Irrigation",1
13,57,57,"water consumption","Irrigation",1
16,57,57,"water consumption","Irrigation",1
10,58,58,"water consumption","Irrigation",1
11,58,58,"water consumption","Irrigation",1
22,58,58,"water consumption","Irrigation",1
27,58,58,"water consumption","Irrigation",1
13,59,59,"water consumption","Irrigation",1
13,60,60,"water consumption","Irrigation",1
13,61,61,"water consumption","Irrigation",1
13,62,62,"water consumption","Irrigation",1
16,62,62,"water consumption","Irrigation",1
13,63,63,"water consumption","Irrigation",1
13,64,64,"water consumption","Irrigation",1
28,65,65,"water consumption","Irrigation",1
29,65,65,"water consumption","Irrigation",1
